date,recipient,amount,lobbyist,employer
08/29/2012,Solis,$100.00,Terrance Diamond,"Neal & Leroy, LLC"
09/19/2012,NA,$500.00,Jeanette Sublett,"Neal & Leroy, LLC"
09/13/2012,Austin,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, PC"
09/13/2012,Burnett,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, PC"
09/13/2012,Cappleman,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, PC"
10/16/2012,Ervin,$250.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
10/05/2012,O'Connor,$500.00,Stephen Friedman,S.B. Friedman & Co.
10/10/2012,Burns,$1000.00,Paul Rosenfeld,Government Navigation Group
12/06/2012,Fioretti,$500.00,Arnold Harris,Arnold Scott Harris PC
10/10/2012,NA,$250.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
12/21/2012,Austin,$500.00,John Sterling,"Synchronus - Solutions, Inc"
11/28/2012,Dowell,$500.00,Stephen Friedman,S.B. Friedman & Co.
02/20/2013,NA,$600.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/01/2013,Hairston,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/21/2013,Moreno,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Ervin,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
01/17/2013,Cardenas,$750.00,Bill McManus,American Beverage Association
02/21/2013,Mell,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/22/2013,NA,$0.00,Kevin Mendoza,"JCDecaux Chicago, LLC"
01/17/2013,Cardenas,$250.00,Daniel Shomon,DAN SHOMON INC.
01/31/2013,Beale,$250.00,Angelica Marks,Chicago Neighborhood Initiatives
02/21/2013,Moreno,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
02/21/2013,Mell,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/06/2013,Hairston,$150.00,Graham Grady,Shefsky & Froelich Ltd.
05/31/2013,Preckwinkle,$500.00,Mara Georges,Daley and Georges Ltd.
06/07/2013,NA,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2013,Moore,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/06/2013,Zalewski,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
05/09/2013,Burns,$1000.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/14/2013,Dowell,$500.00,Elvin Charity,"Charity & Associates, P.C."
06/24/2013,Moreno,$30.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
05/17/2013,Reilly,$100.00,Thomas Wolf,Illinois Chamber of Commerce
02/21/2013,Ervin,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
05/31/2013,Preckwinkle,$500.00,Mara Georges,Daley and Georges Ltd.
05/01/2013,Burns,$300.00,Graham Grady,Shefsky & Froelich Ltd.
01/16/2013,Cardenas,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2013,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Reilly,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Ervin,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Mell,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/25/2013,Beale,$25.00,Danielle Cassel,Vedder Price PC
06/30/2013,NA,$0.00,Steven Ginsberg,Ginsberg Jacobs LLC
02/08/2013,Moore,$1000.00,Arnold Harris,Arnold Scott Harris PC
06/07/2013,O'Connor,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2013,Moore,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
05/09/2013,Burns,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/26/2013,Burns,$1000.00,Terry Teele,"Rory Group, LLC."
05/06/2013,Burns,$500.00,Michael Sutton,"Infrastructure Engineering, Inc."
06/15/2013,NA,$1000.00,Thomas Livingston,CSX Corporation
04/17/2013,Pawar,$500.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
01/17/2013,Cardenas,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
02/26/2013,NA,$250.00,Bridget O'Keefe,"Daspin & Aument, LLP"
06/27/2013,Fioretti,$250.00,Mitchell Feldman,General Growth Properties
03/12/2013,Harris,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/18/2013,O'Connor,$100.00,Michael Lufrano,"Chicago Cubs Baseball Club, LLC"
05/29/2013,Burns,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
06/19/2013,NA,$250.00,Gyata Kimmons,"Serafin & Associates, Inc."
06/07/2013,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
05/09/2013,Burns,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
05/10/2013,Graham,$250.00,John Dunn,McGuireWoods Consulting
06/04/2013,Cappleman,$250.00,Graham Grady,Shefsky & Froelich Ltd.
04/15/2013,Moreno,$1500.00,Michael Paulos,Comcast
04/11/2013,Harris,$1000.00,Yafawn Smith,Comcast
05/29/2013,Burns,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
02/25/2013,Moore,$250.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
05/04/2013,Munoz,$250.00,John George,"Schuyler, Roche & Crisham PC"
05/04/2013,Hairston,$250.00,John George,"Schuyler, Roche & Crisham PC"
05/04/2013,Munoz,$250.00,John George,"Schuyler, Roche & Crisham PC"
05/28/2013,Burns,$250.00,Mara Georges,Daley and Georges Ltd.
02/14/2013,NA,$200.00,William Filan,William Filan Ltd
09/20/2013,Hairston,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
09/18/2013,Cappleman,$100.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
03/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
06/06/2013,Zalewski,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2013,Smith,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/27/2013,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Mell,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2013,NA,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Ervin,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2013,Harris,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2013,Harris,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/26/2013,NA,$250.00,Bridget O'Keefe,"Daspin & Aument, LLP"
06/04/2013,Burns,$150.00,Danielle Cassel,Vedder Price PC
04/11/2013,Sawyer,$150.00,Danielle Cassel,Vedder Price PC
02/14/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
03/27/2013,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
05/09/2013,Burns,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2013,Burnett,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Reilly,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
08/30/2013,NA,$0.00,Charlotte Knight-Marshall,TKG & Associates LLC
03/25/2013,Solis,$150.00,Danielle Cassel,Vedder Price PC
03/21/2013,Moreno,$250.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
04/17/2013,O'Connor,$100.00,Katriina McGuire,"Schain, Burney, Banks & Kenny, Ltd"
09/13/2013,Laurino,$200.00,Betsy Sales,"Serafin & Associates, Inc."
02/26/2013,NA,$250.00,Bridget O'Keefe,"Daspin & Aument, LLP"
05/01/2013,Burnett,$150.00,Bridget O'Keefe,"Daspin & Aument, LLP"
09/19/2013,O'Connor,$500.00,John George,"Schuyler, Roche & Crisham PC"
09/19/2013,NA,$500.00,John George,"Schuyler, Roche & Crisham PC"
05/16/2013,NA,$1500.00,Mara Georges,Daley and Georges Ltd.
05/09/2013,Burns,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/21/2013,NA,$125.00,Graham Grady,Shefsky & Froelich Ltd.
06/24/2013,Pope,$1000.00,Marcus Nunes,"Chico & Nunes, PC"
04/17/2013,Burnett,$250.00,Marcus Nunes,"Chico & Nunes, PC"
03/21/2013,Arena,$250.00,Marcus Nunes,"Chico & Nunes, PC"
09/19/2013,NA,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
09/24/2013,Sposato,$250.00,Michael Paulos,Comcast
06/25/2013,Tunney,$500.00,Michael Paulos,Comcast
06/03/2013,Reboyras,$300.00,Graham Grady,Shefsky & Froelich Ltd.
02/06/2013,Hairston,$150.00,Graham Grady,Shefsky & Froelich Ltd.
12/05/2013,Fioretti,$500.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
12/18/2013,O'Connor,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/28/2013,O'Connor,$100.00,Elizabeth Coolidge,PNC Capital Markets LLC
05/01/2013,Burnett,$150.00,Bridget O'Keefe,"Daspin & Aument, LLP"
12/04/2013,Foulkes,$1500.00,Yafawn Smith,Comcast
12/01/2013,NA,$1500.00,John Doerrer,Kaizen Inc
01/01/2014,NA,$0.00,Eric Locke,Astronics DME Corporation
10/08/2013,Moore,$500.00,Michael Sutton,"Infrastructure Engineering, Inc."
02/25/2013,Beale,$25.00,Danielle Cassel,Vedder Price PC
10/04/2013,O'Connor,$1000.00,Paul Rosenfeld,Government Navigation Group
04/17/2013,Pawar,$500.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
11/14/2013,Fioretti,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
12/17/2013,Silverstein,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/29/2013,Munoz,$150.00,Kate Tragesser,"Krieg DeVault, LLP"
12/11/2013,Pope,$150.00,Kate Tragesser,"Krieg DeVault, LLP"
10/14/2013,O'Connor,$125.00,William Filan,William Filan Ltd
10/01/2013,Suarez,$1500.00,Lisa Ouzounion,Comcast
10/01/2013,O'Connor,$1500.00,Lisa Ouzounion,Comcast
09/01/2013,Maldonado,$1500.00,Lisa Ouzounion,Comcast
10/31/2013,NA,$250.00,Dean Maragos,"Maragos & Maragos, Ltd"
03/14/2014,Smith,$1500.00,Jerry Mickelson,"Jam Productions, Ltd"
01/27/2014,NA,$250.00,Jerry Mickelson,"Jam Productions, Ltd"
10/16/2013,Dowell,$1000.00,David Doig,Chicago Neighborhood Initiatives
01/15/2014,Burke,$500.00,Daniel Shomon,DAN SHOMON INC.
03/26/2014,Hopkins,$500.00,Arnold Harris,Arnold Scott Harris PC
03/27/2014,Cardenas,$200.00,Sam Toia,Illinois Restaurant Association
03/31/2014,NA,$150.00,Sam Toia,Illinois Restaurant Association
02/13/2014,Cappleman,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,NA,$250.00,William Daley,Morgan Stanley & Co.  LLC
03/12/2014,Solis,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Cullerton,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,Laurino,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/15/2014,Burke,$500.00,John Corrigan,"John C. Corrigan & Associates, LLC"
03/05/2014,Burke,$1500.00,Jason Lunderman,Comcast
02/17/2014,Ervin,$250.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/18/2014,Fioretti,$250.00,Dean Maragos,"Maragos & Maragos, Ltd"
03/12/2014,Solis,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Cullerton,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/06/2014,Hairston,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
03/06/2014,Fioretti,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/01/2014,NA,$0.00,Steven Ginsberg,Ginsberg Jacobs LLC
02/23/2014,Cullerton,$250.00,Marcus Nunes,"Chico & Nunes, PC"
04/28/2014,NA,$1000.00,John Doerrer,Kaizen Inc
05/07/2014,Austin,$100.00,Kate Tragesser,Krieg DeVault LLP
03/20/2014,Smith,$500.00,Michael Alexander,"Alexander & Borovicka Government Solutions, LLC"
03/06/2014,Fioretti,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/18/2014,Cullerton,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
03/14/2014,Cullerton,$150.00,William Smith,Cornerstone Government Affairs
06/13/2014,Ervin,$75.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
05/20/2014,Brookins,$100.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
03/12/2014,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2014,O'Connor,$175.00,Dean Maragos,"Maragos & Maragos, Ltd"
04/08/2014,NA,$150.00,Dean Maragos,"Maragos & Maragos, Ltd"
02/12/2015,Tunney,$250.00,Bridget O'Keefe,Daspin & Aument
02/18/2015,Pawar,$500.00,Gery Chico,"Chico & Nunes, P.C."
06/04/2014,Osterman,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/05/2014,O'Connor,$200.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/26/2015,Cappleman,$500.00,Michael Abramson,Michael Abramson
03/22/2015,NA,$250.00,David Narefsky,Mayer Brown LLP
01/02/2015,Dowell,$300.00,Elvin Charity,"Charity & Associates, P.C."
03/27/2015,Thompson,$1000.00,Gery Chico,"Chico & Nunes, P.C."
01/22/2015,Munoz,$500.00,Gery Chico,"Chico & Nunes, P.C."
02/11/2015,Solis,$500.00,Gery Chico,"Chico & Nunes, P.C."
01/21/2015,Harris,$250.00,Graham Grady,Taft Stettinius & Hollister LLP
07/02/2014,Pope,$500.00,Gery Chico,"Chico & Nunes, PC"
04/14/2014,Austin,$100.00,Sylvia Michas,"Chico & Nunes, PC"
06/30/2014,NA,$1500.00,Gery Chico,"Chico & Nunes, PC"
03/12/2014,Solis,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Harris,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Burns,$1000.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/16/2014,NA,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/04/2014,O'Connor,$150.00,Joseph Pilewski,Joseph Pilewski
02/13/2015,Graham,$250.00,Paul Williams,Paul Williams
12/08/2014,Laurino,$250.00,Mary Minaghan dba MKM Services,MKM Services
01/30/2015,Moreno,$500.00,Thomas Murphy,"Thomas J. Murphy, P.C."
02/06/2015,Moreno,$500.00,Thomas Murphy,"Thomas J. Murphy, P.C."
09/15/2014,Graham,$250.00,Jerry Mickelson,"Jam Productions, Ltd"
08/12/2014,Osterman,$300.00,Jerry Mickelson,"Jam Productions, Ltd"
08/14/2014,NA,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
06/03/2014,Moore,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/14/2015,NA,$500.00,Rolando Acosta,Rolando Acosta
04/16/2014,O'Connor,$200.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/30/2014,NA,$1500.00,Gery Chico,"Chico & Nunes, PC"
03/06/2014,Hairston,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/23/2014,Reilly,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
02/12/2015,Beale,$1000.00,Eric Dams,Troutman & Dams LLC
02/12/2015,Thompson,$50.00,Beniamino Capellupo,SEIU Illinois Council
06/04/2014,Pawar,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/18/2014,Graham,$250.00,Paul Williams,Paul Williams
10/07/2014,NA,$500.00,John Doerrer,Kaizen Inc
12/08/2014,NA,$1000.00,John Doerrer,Kaizen Inc
03/18/2015,Mitts,$200.00,James Watson,Illinois Petroleum Council
02/17/2015,Moore,$500.00,James Watson,Illinois Petroleum Council
08/12/2014,Moreno,$1210.70,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/17/2014,Beale,$250.00,Paul Williams,Paul Williams
06/19/2014,Sawyer,$250.00,Paul Williams,Paul Williams
04/14/2014,Austin,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
06/09/2014,NA,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
09/30/2014,O'Shea,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
09/10/2013,Reilly,$250.00,Donna Pugh,"Foley & Lardner, LLP"
12/01/2014,Thompson,$500.00,David Doig,Chicago Neighborhood Initiatives
09/12/2014,O'Connor,$125.00,Daniel Shomon,DAN SHOMON INC.
01/06/2015,NA,$0.00,Morgan Bassey,Harvestons Securities Inc
09/30/2014,Villegas,$480.25,Jorge Perez,HISPANIC AMERICAN CONSTRUCTION INDUSTRY ASSOCIATION ( HACIA )
01/23/2014,Reilly,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
06/04/2014,Burns,$1000.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Pawar,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/16/2014,O'Connor,$200.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/23/2014,Burke,$1500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/09/2014,Burns,$50.00,Danielle Cassel,Vedder Price PC
03/26/2015,Preckwinkle,$750.00,Dennis O'Sullivan,Metropolitan Chicago Healthcare Council
03/10/2015,NA,$250.00,Dennis O'Sullivan,Metropolitan Chicago Healthcare Council
03/25/2015,NA,$150.00,Dennis O'Sullivan,Metropolitan Chicago Healthcare Council
02/10/2015,Graham,$300.00,Brendan Shiller,Lakeview Strategy Group
02/10/2015,Scott,$100.00,Brendan Shiller,Lakeview Strategy Group
02/12/2015,Cappleman,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
05/08/2014,Austin,$1000.00,Mary Minaghan dba MKM Services,MKM Services
03/31/2014,Solis,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
04/24/2014,Zalewski,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
09/30/2014,NA,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
09/30/2014,O'Shea,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
02/12/2015,Tunney,$392.16,Jerome Schain,Schain Banks Kenny & Schwartz
03/19/2015,Pope,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
03/13/2015,Hopkins,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/30/2015,Mitts,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/30/2015,Graham,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
02/17/2015,NA,$75.00,Donovan Pepper,Walgreen Co.
02/11/2015,NA,$200.00,Kate Tragesser,Krieg DeVault LLP
02/09/2015,Ervin,$100.00,Kate Tragesser,Krieg DeVault LLP
02/13/2015,Mitts,$150.00,Lewis Powell,Lewis Powell
03/03/2015,Ervin,$500.00,Michael Ezgur,Michael Ezgur
03/30/2015,O'Connor,$250.00,Mark Fary,"Intergovernmental Consulting Group, Inc"
03/19/2015,NA,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/15/2015,O'Shea,$250.00,John Dunn,McGuireWoods Consulting
01/15/2015,Dowell,$250.00,John Dunn,McGuireWoods Consulting
01/26/2015,Holmes,$250.00,John Dunn,McGuireWoods Consulting
01/26/2015,Ervin,$250.00,John Dunn,McGuireWoods Consulting
01/28/2015,NA,$150.00,Jason Lunderman,Comcast
01/29/2015,Thompson,$500.00,Michael Sutton,"Infrastructure Engineering, Inc."
09/26/2014,Zalewski,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/12/2015,Laurino,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/27/2015,Moore,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/03/2014,Moreno,$50.00,Jeff Riley,Riley Public Affairs
01/14/2015,Burnett,$250.00,Bridget O'Keefe,Daspin & Aument
03/24/2015,Arena,$200.00,Marcus Nunes,"Chico & Nunes, P.C."
05/07/2014,Austin,$100.00,Kate Tragesser,Krieg DeVault LLP
12/11/2014,NA,$500.00,Michael Sutton,"Infrastructure Engineering, Inc."
10/09/2014,NA,$200.00,Michael Sutton,"Infrastructure Engineering, Inc."
02/13/2014,O'Connor,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Pawar,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/12/2015,Solis,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/27/2015,O'Connor,$1000.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/27/2015,Moore,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/20/2015,Graham,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
08/28/2014,NA,$500.00,John Doerrer,Kaizen Inc
08/28/2014,NA,$500.00,John Doerrer,Kaizen Inc
07/11/2014,NA,$250.00,John Doerrer,Kaizen Inc
05/08/2014,Austin,$1500.00,YaFawn Smith,Comcast
02/17/2015,NA,$50.00,Michael Laube,Laube Consulting Group LLC
02/17/2015,Cappleman,$150.00,Michael Laube,Laube Consulting Group LLC
