CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
3561,04/01/2013,06/30/2013,06/19/2013,Friends of Kwame Raoul,$250.00,12864,Gyata,Kimmons,07/15/2013
3705,04/01/2013,06/30/2013,06/07/2013,11th Ward Democratic Party,$500.00,14321,MICHAEL,KASPER,07/19/2013
3702,04/01/2013,06/30/2013,05/09/2013,Alderman Will Burns,$1000.00,14321,MICHAEL,KASPER,07/19/2013
3767,04/01/2013,06/30/2013,05/10/2013,Deb Graham,$250.00,13362,John,Dunn,07/19/2013
4025,04/01/2013,06/30/2013,06/04/2013,Citizens for Cappleman,$250.00,14861,Graham,Grady,08/20/2013
3807,04/01/2013,06/30/2013,04/15/2013,Friends of Proco Joe Moreno,$1500.00,11090,Michael,Paulos,07/22/2013
3821,04/01/2013,06/30/2013,04/11/2013,Friends of Michelle Harris,$1000.00,11390,Yafawn,Smith,07/23/2013
3890,04/01/2013,06/30/2013,05/29/2013,Friends of Will Burns,$500.00,14443,Rolando,Acosta,07/29/2013
3904,01/01/2013,03/31/2013,02/25/2013,Citizens for Joe Moore,$250.00,14444,Rolando,Acosta,07/29/2013
3914,04/01/2013,06/30/2013,05/04/2013,Citizens for Munoz,$250.00,14446,John,George,07/29/2013
3918,04/01/2013,06/30/2013,05/04/2013,Friends of Leslie Hairston,$250.00,14447,John,George,07/29/2013
3916,04/01/2013,06/30/2013,05/04/2013,Citizens for Munoz,$250.00,14447,John,George,07/29/2013
4303,04/01/2013,06/30/2013,05/28/2013,4th Ward Alderman Will Burns,$250.00,15382,Mara,Georges,09/30/2013
4339,01/01/2013,03/31/2013,02/14/2013,citizens for austin,$200.00,15406,William,Filan,10/08/2013
4420,07/01/2013,09/30/2013,09/20/2013,Friends of Leslie A. Hairston,$150.00,11022,Elizabeth,Lively,10/15/2013
4419,07/01/2013,09/30/2013,09/18/2013,Citizens for Cappleman,$100.00,11022,Elizabeth,Lively,10/15/2013
4046,01/01/2013,03/31/2013,03/25/2013,FRIENDS OF MICHELLE HARRIS,$250.00,14942,William,Banks,08/27/2013
4237,04/01/2013,06/30/2013,06/06/2013,Alderman Mike Zalewski,$500.00,15305,MICHAEL,KASPER,09/24/2013
4236,04/01/2013,06/30/2013,06/07/2013,Alderman Michele Smith,$250.00,15305,MICHAEL,KASPER,09/24/2013
4244,01/01/2013,03/31/2013,03/27/2013,25th Ward Regular Democratic Organization,$500.00,15305,MICHAEL,KASPER,09/24/2013
4243,01/01/2013,03/31/2013,02/21/2013,Alderman Richard Mell,$300.00,15305,MICHAEL,KASPER,09/24/2013
4264,04/01/2013,06/30/2013,06/07/2013,11th Ward Democratic Party,$500.00,15307,David,Dring,09/24/2013
4251,01/01/2013,03/31/2013,02/21/2013,Alderman Jason Ervin,$300.00,15306,COURTNEY,NOTTAGE,09/24/2013
4245,01/01/2013,03/31/2013,03/12/2013,Alderman Michelle Harris,$500.00,15306,COURTNEY,NOTTAGE,09/24/2013
4267,01/01/2013,03/31/2013,03/12/2013,Alderman Michelle A. Harris,$500.00,15307,David,Dring,09/24/2013
4288,01/01/2013,03/31/2013,02/26/2013,State Senator Toi Hutchinson,$250.00,15322,Bridget,O'Keefe,09/25/2013
4367,04/01/2013,06/30/2013,06/04/2013,Alderman Will Burns,$150.00,15428,Danielle,Cassel,10/11/2013
4366,04/01/2013,06/30/2013,04/11/2013,Alderman Rod Sawyer,$150.00,15428,Danielle,Cassel,10/11/2013
4105,01/01/2013,03/31/2013,02/14/2013,CITIZENS FOR JOE MOORE,$250.00,15083,William,Banks,09/05/2013
4145,01/01/2013,03/31/2013,03/27/2013,25th Ward Regular Democratic Organization,$500.00,15221,MICHAEL,KASPER,09/16/2013
4153,04/01/2013,06/30/2013,05/09/2013,Alderman Will Burns,$1000.00,15221,MICHAEL,KASPER,09/16/2013
4149,04/01/2013,06/30/2013,06/07/2013,Alderman Walter Burnett,$500.00,15221,MICHAEL,KASPER,09/16/2013
4180,01/01/2013,03/31/2013,02/21/2013,Alderman Brendan Reilly,$500.00,15223,David,Dring,09/16/2013
4081,07/01/2013,09/30/2013,08/30/2013,N/a,$0.00,11642,Charlotte,Knight-Marshall,08/30/2013
4402,01/01/2013,03/31/2013,03/25/2013,25th Ward Regular Democratic Organization (celebrating 17 years of service by Alderman Solis),$150.00,15461,Danielle,Cassel,10/15/2013
4529,01/01/2013,03/31/2013,03/21/2013,Friends of Proco Joe Moreno,$250.00,15506,Jerome,Schain,10/21/2013
4533,04/01/2013,06/30/2013,04/17/2013,Citizens for O'Connor,$100.00,15511,Katriina,McGuire,10/21/2013
4534,07/01/2013,09/30/2013,09/13/2013,Friends of Margaret Laurino,$200.00,13948,Betsy,Sales,10/21/2013
4571,01/01/2013,03/31/2013,02/26/2013,State Senator Toi Hutchinson,$250.00,15525,Bridget,O'Keefe,10/22/2013
4442,04/01/2013,06/30/2013,05/01/2013,Walter Burnett,$150.00,15469,Bridget,O'Keefe,10/17/2013
4606,07/01/2013,09/30/2013,09/19/2013,Citizens for Patrick O'Connor,$500.00,15541,John,George,10/23/2013
4609,07/01/2013,09/30/2013,09/19/2013,23rd Ward Regular Democratic Organization,$500.00,15542,John,George,10/23/2013
4706,04/01/2013,06/30/2013,05/16/2013,the Burnham Committee Legal Leaders Breakfast,$1500.00,15967,Mara,Georges,11/25/2013
4765,04/01/2013,06/30/2013,05/09/2013,Alderman Will Burns,$1000.00,16021,MICHAEL,KASPER,12/05/2013
4781,04/01/2013,06/30/2013,06/21/2013,The New 37th Ward Democratic Organization,$125.00,16022,Graham,Grady,12/05/2013
4466,04/01/2013,06/30/2013,06/24/2013,John Pope,$1000.00,15483,Marcus,Nunes,10/18/2013
4465,04/01/2013,06/30/2013,04/17/2013,Walter Burnett,$250.00,15483,Marcus,Nunes,10/18/2013
4468,01/01/2013,03/31/2013,03/21/2013,John Arena,$250.00,15483,Marcus,Nunes,10/18/2013
4523,07/01/2013,09/30/2013,09/19/2013,25th Ward Regular Democratic Organization,$500.00,14444,Rolando,Acosta,10/21/2013
4561,07/01/2013,09/30/2013,09/24/2013,Friends of Nicholas Sposato,$250.00,15522,Michael,Paulos,10/22/2013
4565,04/01/2013,06/30/2013,06/25/2013,Citizens for Tunney,$500.00,15522,Michael,Paulos,10/22/2013
4682,04/01/2013,06/30/2013,06/03/2013,Citizens for Reboyras,$300.00,15901,Graham,Grady,11/14/2013
4686,01/01/2013,03/31/2013,02/06/2013,Friends of Leslie A. Hairston,$150.00,15901,Graham,Grady,11/14/2013
5289,10/01/2013,12/31/2013,12/05/2013,Friends of Bob Fioretti,$500.00,15465,John,"Kelly, Jr.",01/17/2014
5051,10/01/2013,12/31/2013,12/18/2013,Alderman Mary O'Connor,$500.00,15307,David,Dring,01/07/2014
5025,10/01/2013,12/31/2013,10/28/2013,Friends of Mary O'Connor,$100.00,13501,Elizabeth,Coolidge,01/06/2014
4861,04/01/2013,06/30/2013,05/01/2013,Walter Burnett,$150.00,16201,Bridget,O'Keefe,12/18/2013
4969,10/01/2013,12/31/2013,12/04/2013,Friends to Elect Toni Foulkes,$1500.00,11390,Yafawn,Smith,12/30/2013
5083,10/01/2013,12/31/2013,12/01/2013,FRIENDS FOR MARY O'CONNOR,$1500.00,14124,John,Doerrer,01/09/2014
5161,10/01/2013,12/31/2013,01/01/2014,none,$0.00,11711,Eric,Locke,01/13/2014
5301,10/01/2013,12/31/2013,10/08/2013,Citizens for Joe Moore,$500.00,10403,Michael,Sutton,01/18/2014
4944,01/01/2013,03/31/2013,02/25/2013,Anthony Beale for Congress,$25.00,16327,Danielle,Cassel,12/23/2013
5461,10/01/2013,12/31/2013,10/04/2013,Friends of Mary O'Connor,$1000.00,15430,Paul,Rosenfeld,01/23/2014
4922,04/01/2013,06/30/2013,04/17/2013,Friends of Ameya Pawar,$500.00,16285,Jerome,Schain,12/20/2013
5062,10/01/2013,12/31/2013,11/14/2013,Alderman Bob Fioretti,$300.00,16021,MICHAEL,KASPER,01/08/2014
5063,10/01/2013,12/31/2013,12/17/2013,Alderman Debra Silverstein,$500.00,16021,MICHAEL,KASPER,01/08/2014
5111,10/01/2013,12/31/2013,10/29/2013,Citizens for Senator Munoz,$150.00,14361,Kate,Tragesser,01/10/2014
5108,10/01/2013,12/31/2013,12/11/2013,Citzens for Alderman Pope,$150.00,14361,Kate,Tragesser,01/10/2014
5563,10/01/2013,12/31/2013,10/14/2013,Citizens for O'Connore,$125.00,15407,William,Filan,02/03/2014
5410,10/01/2013,12/31/2013,10/01/2013,Friends of Ray Suarez,$1500.00,11481,Lisa,Ouzounion,01/21/2014
5409,10/01/2013,12/31/2013,10/01/2013,Citizens for Patrick J. O'Connor,$1500.00,11481,Lisa,Ouzounion,01/21/2014
5405,10/01/2013,12/31/2013,09/01/2013,Citizens for Maldonado,$1500.00,11481,Lisa,Ouzounion,01/21/2014
5281,10/01/2013,12/31/2013,10/31/2013,37th Ward Democratic Organization,$250.00,12766,Dean,Maragos,01/17/2014
5706,01/01/2014,03/31/2014,03/14/2014,Friends of Michele Smith,$1500.00,16645,Jerry,Mickelson,04/01/2014
5703,01/01/2014,03/31/2014,01/27/2014,Citizens for Bridget Gainer,$250.00,16645,Jerry,Mickelson,04/01/2014
5462,10/01/2013,12/31/2013,10/16/2013,Pat Dowell,$1000.00,12806,David,Doig,01/23/2014
5918,01/01/2014,03/31/2014,01/15/2014,Ed Burke,$500.00,17784,Daniel,Shomon,04/15/2014
6046,01/01/2014,03/31/2014,03/26/2014,Hopkins for Chicago (Brian Hopikins - candidate),$500.00,17395,Arnold,Harris,04/21/2014
5985,01/01/2014,03/31/2014,03/27/2014,Friends of George A Cardenas,$200.00,17266,Sam,Toia,04/17/2014
5984,01/01/2014,03/31/2014,03/31/2014,25th Ward Regular Democratic Organization,$150.00,17266,Sam,Toia,04/17/2014
5901,01/01/2014,03/31/2014,02/13/2014,Alderman James Cappleman,$250.00,18443,David,Dring,04/15/2014
6042,01/01/2014,03/31/2014,02/13/2014,Josina Morita,$250.00,16961,William,Daley,04/21/2014
5826,01/01/2014,03/31/2014,03/12/2014,Alderman Danny Solis,$500.00,18442,COURTNEY,NOTTAGE,04/11/2014
5825,01/01/2014,03/31/2014,03/12/2014,Alderman Tim Cullerton,$250.00,18442,COURTNEY,NOTTAGE,04/11/2014
5822,01/01/2014,03/31/2014,02/13/2014,Alderman Margaret Laurino,$250.00,18442,COURTNEY,NOTTAGE,04/11/2014
5894,01/01/2014,03/31/2014,01/15/2014,Friends of Edward M. Burke,$500.00,18724,John,Corrigan,04/14/2014
6056,01/01/2014,03/31/2014,03/05/2014,Friends of Ed Burke,$1500.00,17276,Jason,Lunderman,04/21/2014
5845,01/01/2014,03/31/2014,02/17/2014,Citiizens for Ervin,$250.00,16780,Elizabeth,Lively,04/11/2014
5887,01/01/2014,03/31/2014,02/18/2014,Friends of Alderman Fioretti,$250.00,18421,Dean,Maragos,04/14/2014
5913,01/01/2014,03/31/2014,03/12/2014,Alderman Danny Solis,$500.00,18441,MICHAEL,KASPER,04/15/2014
5912,01/01/2014,03/31/2014,03/12/2014,Alderman Tim Cullerton,$250.00,18441,MICHAEL,KASPER,04/15/2014
6010,01/01/2014,03/31/2014,03/06/2014,Ald. Leslie Hairston,$250.00,18482,John,George,04/18/2014
6013,01/01/2014,03/31/2014,03/06/2014,Ald. Bob Fioretti,$500.00,18825,John,George,04/18/2014
5781,01/01/2014,03/31/2014,01/01/2014,n/a,$0.00,16381,Steven,Ginsberg,04/10/2014
6302,01/01/2014,03/31/2014,02/23/2014,Citizens for Tim Cullerton,$250.00,19621,Marcus,Nunes,06/20/2014
6423,04/01/2014,06/30/2014,04/28/2014,CITIZENS FOR AUSTIN,$1000.00,16587,John,Doerrer,07/03/2014
6661,04/01/2014,06/30/2014,05/07/2014,Citizens for Alderman Austin,$100.00,17218,Kate,Tragesser,07/18/2014
6202,01/01/2014,03/31/2014,03/20/2014,Friends of Michele Smith,$500.00,19144,Michael,Alexander,05/07/2014
6285,01/01/2014,03/31/2014,03/06/2014,Ald. Bob Fioretti,$500.00,19481,John,George,06/11/2014
6284,01/01/2014,03/31/2014,02/18/2014,Citizens for Tim Cullerton,$250.00,19481,John,George,06/11/2014
6181,01/01/2014,03/31/2014,03/14/2014,Citizens for Cullerton,$150.00,19101,William,Smith,05/06/2014
6592,04/01/2014,06/30/2014,06/13/2014,Citizens for Ervin,$75.00,16780,Elizabeth,Lively,07/15/2014
6588,04/01/2014,06/30/2014,05/20/2014,"Committee to Elect Howard B. Brookins, Jr.",$100.00,16780,Elizabeth,Lively,07/15/2014
6342,01/01/2014,03/31/2014,03/12/2014,11th Ward Democratic Party,$500.00,19701,MICHAEL,KASPER,06/26/2014
6452,04/01/2014,06/30/2014,06/07/2014,Alderman Patrick O'Connor,$175.00,18421,Dean,Maragos,07/07/2014
6445,04/01/2014,06/30/2014,04/08/2014,11th Ward Democratic Party Campaign Committee,$150.00,18421,Dean,Maragos,07/07/2014
9423,01/01/2015,03/31/2015,02/12/2015,Friends of Tom Tunney,$250.00,24542,Bridget,O'Keefe,04/27/2015
9630,01/01/2015,03/31/2015,02/18/2015,Friends of Ameya Pawar,$500.00,24682,Gery,Chico,05/07/2015
7845,04/01/2014,06/30/2014,06/04/2014,Alderman Harry Osterman,$300.00,21642,COURTNEY,NOTTAGE,10/30/2014
7851,07/01/2014,09/30/2014,09/05/2014,Alderman Patrick J. O'Connor,$200.00,21642,COURTNEY,NOTTAGE,10/30/2014
9238,01/01/2015,03/31/2015,03/26/2015,John Cappleman,$500.00,22739,Michael,Abramson,04/20/2015
9344,01/01/2015,03/31/2015,03/22/2015,Friends of Alyx Pattison,$250.00,22915,David,Narefsky,04/21/2015
